site_name,site_address,site_city,site_zip,site_state,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Spring Garden Middle School,511 S Elm St,Ina,62846-1202,IL,38.148447,-88.905419,1,range_interpolation,511,S Elm St,,,Ina,IL,Jefferson County,62846,US,TIGER/Line® dataset from the US Census Bureau
Spring Garden Elementary School,14975 E Bakerville Rd,Mount Vernon,62864-7100,IL,38.25799,-88.882567,1,range_interpolation,14975,E Bakerville Rd,,,Mount Vernon,IL,Jefferson County,62864,US,TIGER/Line® dataset from the US Census Bureau
Mount Vernon High School,11101 N Wells Bypass Rd,Mount Vernon,62864-6588,IL,38.302761,-88.951291,0.6,street_center,,N Wells Byp,,,Mount Vernon,IL,Jefferson County,62864,US,TIGER/Line® dataset from the US Census Bureau
Webber High School,901 6th St,Bluford,62814-1418,IL,38.324717,-88.742813,1,range_interpolation,901,6th St,,,Bluford,IL,Jefferson County,62814,US,TIGER/Line® dataset from the US Census Bureau
Bluford Grade School,901 6th St,Bluford,62814-1418,IL,38.324717,-88.742813,1,range_interpolation,901,6th St,,,Bluford,IL,Jefferson County,62814,US,TIGER/Line® dataset from the US Census Bureau
Oakland Education Center,1722 Oakland Ave,Mount Vernon,62864-2885,IL,38.325513,-88.910835,1,range_interpolation,1722,Oakland Ave,,,Mount Vernon,IL,Jefferson County,62864,US,TIGER/Line® dataset from the US Census Bureau
Raccoon Cons Elem School,3601 State Route 161,Centralia,62801-9621,IL,38.519587,-88.978928,1,range_interpolation,3601,State Rte 161,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
Kell Grade School,207 N Johnson St,Kell,62853-1637,IL,38.495641,-88.9033,1,range_interpolation,207,N Johnson St,,,Kell,IL,Marion County,62853,US,TIGER/Line® dataset from the US Census Bureau
Franklin Park Middle School,1325 N Franklin St,Salem,62881-4208,IL,38.638461,-88.95107,1,range_interpolation,1325,N Franklin St,,,Salem,IL,Marion County,62881,US,TIGER/Line® dataset from the US Census Bureau
Hawthorn Elem School,1300 Bobcat Cir,Salem,62881-4274,IL,38.643793,-88.974839,0.33,place,,,,,Salem,IL,Marion County,62881,US,TIGER/Line® dataset from the US Census Bureau
Central City Elem School,129 Douglas St,Centralia,62801-2129,IL,38.54753,-89.128138,1,range_interpolation,129,Douglas St,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
Schiller Elem School,800 W 4th St,Centralia,62801-5716,IL,38.525252,-89.147931,0.87,range_interpolation,800,W 4th Street Rd,,,Centralia,IL,Clinton County,62801,US,TIGER/Line® dataset from the US Census Bureau
Jordan Elem School,311 Airport Rd,Centralia,62801-6579,IL,38.522939,-89.097737,0.9,range_interpolation,311,Airport Rd,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
Centralia Jr High School,900 S Pine St,Centralia,62801-4850,IL,38.517411,-89.130276,1,range_interpolation,900,S Pine St,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
Centralia High School,2100 E Calumet St,Centralia,62801-6511,IL,38.518045,-89.105957,1,range_interpolation,2100,E Calumet St,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
South Central High School,800 W Washington St,Farina,62838-1218,IL,38.836982,-88.773821,0.6,street_center,,State Rte 185,,,Farina,IL,Fayette County,62838,US,TIGER/Line® dataset from the US Census Bureau
South Central Middle School,503 S Madison St,Kinmundy,62854-2464,IL,38.767557,-88.84867,0.9,range_interpolation,503,S Madison St,,,Kinmundy,IL,Marion County,62854,US,TIGER/Line® dataset from the US Census Bureau
South Central Elementary-Kinmundy,810 E 1st St,Kinmundy,62854-2122,IL,38.773621,-88.839872,1,range_interpolation,810,E 1st St,,,Kinmundy,IL,Marion County,62854,US,TIGER/Line® dataset from the US Census Bureau
Sandoval Sr High School,859 W Missouri Ave,Sandoval,62882-1031,IL,38.616518,-89.132524,1,range_interpolation,859,W Missouri Ave,,,Sandoval,IL,Marion County,62882,US,TIGER/Line® dataset from the US Census Bureau
Sandoval Jr High School,859 W Missouri Ave,Sandoval,62882-1031,IL,38.616518,-89.132524,1,range_interpolation,859,W Missouri Ave,,,Sandoval,IL,Marion County,62882,US,TIGER/Line® dataset from the US Census Bureau
Sandoval Elem School,300 E Perry Ave,Sandoval,62882-1107,IL,38.614676,-89.116728,1,range_interpolation,300,Perry Ave,,,Sandoval,IL,Marion County,62882,US,TIGER/Line® dataset from the US Census Bureau
Odin Attendance Center 9-12,102 S Merritt St,Odin,62870-1112,IL,38.614874,-89.055473,1,range_interpolation,102,S Merritt St,,,Odin,IL,Marion County,62870,US,TIGER/Line® dataset from the US Census Bureau
Odin Attendance Center K-8,102 S Merritt St,Odin,62870-1112,IL,38.614874,-89.055473,1,range_interpolation,102,S Merritt St,,,Odin,IL,Marion County,62870,US,TIGER/Line® dataset from the US Census Bureau
Bridges Learning Center,226 Chicago Ave,Centralia,62801-6193,IL,38.505,-89.137481,1,range_interpolation,226,Chicago Ave,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
Hoyleton Youth & Family Service,PO Box 218,Hoyleton,62803-0218,IL,38.44172,-89.27425,0.33,place,218,PO Box,,,Hoyleton,IL,Washington County,62803,US,TIGER/Line® dataset from the US Census Bureau
Irvington Elem School,PO Box 130,Irvington,62848-0130,IL,38.43922,-89.16285,0.33,place,130,PO Box,,,Irvington,IL,Washington County,62848,US,TIGER/Line® dataset from the US Census Bureau
Ashley Com Consolidated School,450 N Third St,Ashley,62808-1259,IL,38.32941,-89.187425,0.6,street_center,,N 3rd St,,,Ashley,IL,Washington County,62808,US,TIGER/Line® dataset from the US Census Bureau
St Constance School,5841 W Strong St,Chicago,60630-2026,IL,41.970437,-87.774649,1,range_interpolation,5841,W Strong St,,,Chicago,IL,Cook County,60630,US,TIGER/Line® dataset from the US Census Bureau
Children of Peace School,1900 W Taylor St,Chicago,60612-3742,IL,41.868898,-87.675747,1,rooftop,1900,W Taylor St,,,Chicago,IL,Cook County,60612,US,City of Chicago
St Walter School,11741 S Western Ave,Chicago,60643-4731,IL,41.679867,-87.680295,1,rooftop,11741,S Western Ave,,,Chicago,IL,Cook County,60643,US,Cook
St Bartholomew School,4941 W Patterson Ave,Chicago,60641-3512,IL,41.94673,-87.751372,1,rooftop,4941,W Patterson Ave,,,Chicago,IL,Cook County,60641,US,City of Chicago
St Ailbe School,9037 S Harper Ave,Chicago,60619-7990,IL,41.730234,-87.586157,0.95,rooftop,9037,S Harper Ave,,,Chicago,IL,Cook County,60617,US,City of Chicago
St Ferdinand School,3131 N Mason Ave,Chicago,60634-5114,IL,41.937383,-87.774618,1,rooftop,3131,N Mason Ave,,,Chicago,IL,Cook County,60634,US,City of Chicago
St Colette School,3900 Pheasant Dr,Rolling Meadows,60008-2637,IL,42.070406,-88.018848,0.9,range_interpolation,3900,Pheasant Dr,,,Rolling Meadows,IL,Cook County,60008,US,TIGER/Line® dataset from the US Census Bureau
St Bede the Venerable,4440 W. 83rd Street,Chicago,60652-2196,IL,41.74185,-87.73179,0.9,range_interpolation,4440,W 83rd St,,,Chicago,IL,Cook County,60652,US,TIGER/Line® dataset from the US Census Bureau
St Joseph,5641 S 73rd Ave,Summit,60501-1363,IL,41.788973,-87.803525,1,rooftop,5641,S 73rd Ave,,,Summit Argo,IL,Cook County,60501,US,Cook
St Mary Star of the Sea,6424 S Kenneth Ave,Chicago,60629-5525,IL,41.775698,-87.734036,1,rooftop,6424,S Kenneth Ave,,,Chicago,IL,Cook County,60629,US,City of Chicago
St Stanislaus Kostka School,1255 N Noble St,Chicago,60642-3336,IL,41.905128,-87.662065,1,rooftop,1255,N Noble St,,,Chicago,IL,Cook County,60642,US,Cook
St Nicholas Cathedral,2200 W Rice St,Chicago,60622-4811,IL,41.896996,-87.683212,1,rooftop,2200,W Rice St,,,Chicago,IL,Cook County,60622,US,City of Chicago
St Richard School,5025 S Kenneth Ave,Chicago,60632-4535,IL,41.801611,-87.734123,1,rooftop,5025,S Kenneth Ave,,,Chicago,IL,Cook County,60632,US,Cook
St John Vianney School,27 N Lavergne Ave,Northlake,60164-1664,IL,41.908868,-87.90424,1,rooftop,27,N La Vergne Ave,,,Melrose Park,IL,Cook County,60164,US,Cook
St Christopher School,14611 Keeler Ave,Midlothian,60445-2726,IL,41.627019,-87.722231,1,rooftop,14611,Keeler Ave,,,Midlothian,IL,Cook County,60445,US,Cook
St Ann School,3014 Ridge Rd,Lansing,60438-3020,IL,41.564908,-87.543624,1,range_interpolation,3014,Ridge Rd,,,Lansing,IL,Cook County,60438,US,TIGER/Line® dataset from the US Census Bureau
St Odilo School,6617 23rd St,Berwyn,60402-2400,IL,41.848468,-87.788744,1,rooftop,6617,23rd St,,,Berwyn,IL,Cook County,60402,US,Cook
St Benedict,2324 New St,Blue Island,60406-2402,IL,41.656215,-87.679062,1,range_interpolation,2324,New St,,,Blue Island,IL,Cook County,60406,US,TIGER/Line® dataset from the US Census Bureau
St Sylvester Catholic School,3027 W Palmer Blvd,Chicago,60647-2816,IL,41.920346,-87.703217,1,rooftop,3027,W Palmer Blvd,,,Chicago,IL,Cook County,60647,US,City of Chicago
St Joseph,118 Lincoln Ave,Round Lake,60073-5008,IL,42.351709,-88.093395,1,rooftop,118,Lincoln Ave,,,Round Lake,IL,Lake County,60073,US,Lake
St Margaret of Scotland School,9833 S Throop St,Chicago,60643-1490,IL,41.714866,-87.654668,1,rooftop,9833,S Throop St,,,Chicago,IL,Cook County,60643,US,Cook
Most Blessed Trinity Academy,510 Grand Ave,Waukegan,60085-4251,IL,42.364041,-87.836579,1,rooftop,510,Grand Ave,,,Waukegan,IL,Lake County,60085,US,Lake
St Agnes School,1501 Chicago Rd,Chicago Heights,60411-3424,IL,41.504434,-87.640805,1,range_interpolation,1501,Chicago Rd,,,Chicago Heights,IL,Cook County,60411,US,TIGER/Line® dataset from the US Census Bureau
St Bruno School,4839 S Harding Ave,Chicago,60632-3630,IL,41.804886,-87.721913,1,rooftop,4839,S Harding Ave,,,Chicago,IL,Cook County,60632,US,Cook
Our Lady of Charity,3620 S 57th Ct,Cicero,60804-4235,IL,41.826831,-87.767067,1,range_interpolation,3620,S 57th Ct,,,Cicero,IL,Cook County,60804,US,TIGER/Line® dataset from the US Census Bureau
Our Lady of the Snows School,4810 S Leamington Ave,Chicago,60638-2150,IL,41.80498,-87.752017,1,rooftop,4810,S Leamington Ave,,,Chicago,IL,Cook County,60638,US,City of Chicago
Augustus Tolton Catholic Academy,7120 S Calumet Ave,Chicago,60619-1119,IL,41.76499,-87.61733,1,rooftop,7120,S Calumet Ave,,,Chicago,IL,Cook County,60619,US,City of Chicago
St Pius V School,1919 S Ashland Ave,Chicago,60608-2903,IL,41.855309,-87.665769,1,rooftop,1919,S Ashland Ave,,,Chicago,IL,Cook County,60608,US,Cook
Leo High School,7901 S Sangamon St,Chicago,60620-2532,IL,41.750364,-87.64707,1,rooftop,7901,S Sangamon St,,,Chicago,IL,Cook County,60620,US,City of Chicago
St Agnes of Bohemia,2643 S Central Park Ave,Chicago,60623-4631,IL,41.843132,-87.714383,1,rooftop,2643,S Central Park Ave,,,Chicago,IL,Cook County,60623,US,Cook
St Frances of Rome,1401 S Austin Blvd,Cicero,60804-1004,IL,41.861959,-87.774028,1,range_interpolation,1401,S Austin Blvd,,,Cicero,IL,Cook County,60804,US,TIGER/Line® dataset from the US Census Bureau
Cristo Rey St Martin,3106 Belvidere Rd,Waukegan,60085-6016,IL,42.350609,-87.877625,1,rooftop,3106,Belvidere Rd,,,Waukegan,IL,Lake County,60085,US,Lake
Sacred Heart School,2926 E 96th St,Chicago,60617-5010,IL,41.721407,-87.553421,1,rooftop,2926,E 96th St,,,Chicago,IL,Cook County,60617,US,Cook
St Genevieve School,4854 W Montana St,Chicago,60639-2500,IL,41.925444,-87.748511,1,rooftop,4854,W Montana St,,,Chicago,IL,Cook County,60639,US,Cook
St Gall,5515 S Sawyer Ave,Chicago,60629-3125,IL,41.793031,-87.704152,1,rooftop,5515,S Sawyer Ave,,,Chicago,IL,Cook County,60629,US,Cook
Our Lady of Tepeyac High School,2228 S Whipple St,Chicago,60623-3425,IL,41.85091,-87.701903,1,rooftop,2228,S Whipple St,,,Chicago,IL,Cook County,60623,US,Cook
Pope John Paul II Catholic School,4325 S Richmond St,Chicago,60632-2504,IL,41.814664,-87.697775,1,rooftop,4325,S Richmond St,,,Chicago,IL,Cook County,60632,US,Cook
St Catherine of Siena-St Lucy,27 Washington Blvd,Oak Park,60302-4308,IL,41.881914,-87.776326,1,range_interpolation,27,Washington Blvd,,,Oak Park,IL,Cook County,60302,US,TIGER/Line® dataset from the US Census Bureau
Queen of the Universe,7130 S Hamlin Ave,Chicago,60629-4321,IL,41.763236,-87.71784,1,rooftop,7130,S Hamlin Ave,,,Chicago,IL,Cook County,60629,US,Cook
Our Lady of Grace School,2446 N Ridgeway Ave,Chicago,60647-2325,IL,41.925887,-87.721223,1,rooftop,2446,N Ridgeway Ave,,,Chicago,IL,Cook County,60647,US,Cook
St John De La Salle School,10212 S Vernon Ave,Chicago,60628-2216,IL,41.708748,-87.612933,1,rooftop,10212,S Vernon Ave,,,Chicago,IL,Cook County,60628,US,Cook
Cristo Rey Jesuit High School,1852 W 22nd Pl,Chicago,60608-4302,IL,41.851601,-87.672014,1,range_interpolation,1852,W 22nd Pl,,,Chicago,IL,Cook County,60608,US,TIGER/Line® dataset from the US Census Bureau
St Ann,2211 W 18th Pl,Chicago,60608-2506,IL,41.856436,-87.681329,1,rooftop,2211,W 18th Pl,,,Chicago,IL,Cook County,60608,US,City of Chicago
St Francis De Sales High School,10155 S Ewing Ave,Chicago,60617-6022,IL,41.71091,-87.53513,1,range_interpolation,10155,S Ewing Ave,,,Chicago,IL,Cook County,60617,US,TIGER/Line® dataset from the US Census Bureau
St Nicholas of Tolentine School,3741 W 62nd St,Chicago,60629-4014,IL,41.780406,-87.716972,1,rooftop,3741,W 62nd St,,,Chicago,IL,Cook County,60629,US,Cook
St Sabina Academy,7801 S Throop St,Chicago,60620-3758,IL,41.751891,-87.654587,1,rooftop,7801,S Throop St,,,Chicago,IL,Cook County,60620,US,City of Chicago
St Philip Neri School,2110 E 72nd St,Chicago,60649-3010,IL,41.765071,-87.572887,1,rooftop,2110,E 72nd St,,,Chicago,IL,Cook County,60649,US,City of Chicago
St Angela School,1332 N Massasoit Ave,Chicago,60651-1108,IL,41.904774,-87.769873,1,rooftop,1332,N Massasoit Ave,,,Chicago,IL,Cook County,60651,US,Cook
Epiphany School,4223 W 25th St,Chicago,60623-3638,IL,41.845707,-87.730272,1,rooftop,4223,W 25th St,,,Chicago,IL,Cook County,60623,US,Cook
San Miguel/Back-of-the-Yards,1954 W 48Th St,Chicago,60609-4101,IL,41.806826,-87.675334,1,range_interpolation,1954,W 48th St,,,Chicago,IL,Cook County,60609,US,TIGER/Line® dataset from the US Census Bureau
Visitation Catholic School,900 W Garfield Blvd,Chicago,60609-6165,IL,41.794542,-87.64798,1,rooftop,900,W Garfield Blvd,,,Chicago,IL,Cook County,60609,US,City of Chicago
Our Lady of Guadalupe,9050 S Burley Ave,Chicago,60617-4404,IL,41.731026,-87.545833,1,range_interpolation,9050,S Burley Ave,,,Chicago,IL,Cook County,60617,US,TIGER/Line® dataset from the US Census Bureau
Our Lady of Tepeyac,2235 S Albany Ave,Chicago,60623-3414,IL,41.85064,-87.70242,1,rooftop,2235,S Albany Ave,,,Chicago,IL,Cook County,60623,US,City of Chicago
Maternity B V M School,1537 N Lawndale Ave,Chicago,60651-2105,IL,41.909379,-87.718866,1,rooftop,1537,N Lawndale Ave,,,Chicago,IL,Cook County,60651,US,City of Chicago
Immaculate Conception,8739 S Exchange Ave,Chicago,60617-3120,IL,41.735938,-87.552097,1,rooftop,8739,S Exchange Ave,,,Chicago,IL,Cook County,60617,US,City of Chicago
Holy Angels School,750 E 40th St,Chicago,60653-2804,IL,41.821731,-87.608169,1,rooftop,750,E 40th St,,,Chicago,IL,Cook County,60653,US,City of Chicago
St Malachy School,2252 W Washington Blvd,Chicago,60612-2236,IL,41.883301,-87.683738,1,rooftop,2252,W Washington Blvd,,,Chicago,IL,Cook County,60612,US,City of Chicago
St Mary of the Lake School,1026 W Buena Ave,Chicago,60613-2009,IL,41.958611,-87.655503,1,rooftop,1026,W Buena Ave,,,Chicago,IL,Cook County,60613,US,Cook
St Thomas of Canterbury,5525 N Magnolia Ave,Chicago,60640-1306,IL,41.982671,-87.660817,1,rooftop,5525,N Magnolia Ave,,,Chicago,IL,Cook County,60640,US,Cook
Academy of St Benedict,6020 S Laflin St,Chicago,60636-2310,IL,41.78417,-87.662525,1,rooftop,6020,S Laflin St,,,Chicago,IL,Cook County,60636,US,City of Chicago
St Ethelreda School,8734 S Paulina St,Chicago,60620-4815,IL,41.734467,-87.665867,1,rooftop,8734,S Paulina St,,,Chicago,IL,Cook County,60620,US,Cook
Providence-Englewood Elem Charter,6515 S Ashland Ave,Chicago,60636-3003,IL,41.77518,-87.663693,1,rooftop,6515,S Ashland Ave,,,Chicago,IL,Cook County,60636,US,City of Chicago
Daniel F And Ada L Rice,1101 Washington St,Evanston,60202-1619,IL,42.033058,-87.686938,1,rooftop,1101,Washington St,,,Evanston,IL,Cook County,60202,US,City of Evanston
UCAN Longwood,10650 S Longwood Dr,Chicago,60643-2617,IL,41.699729,-87.671961,1,rooftop,10650,S Longwood Dr,,,Chicago,IL,Cook County,60643,US,City of Chicago
Uhlich Academy,3110 W Grand Ave,Chicago,60622-4324,IL,41.89803,-87.704654,1,rooftop,3110,W Grand Ave,,,Chicago,IL,Cook County,60622,US,City of Chicago
Uhlich Childs Advantage Network,3640 W Fillmore St,Chicago,60624-4309,IL,41.868249,-87.716309,1,range_interpolation,3640,W Fillmore St,,,Chicago,IL,Cook County,60624,US,TIGER/Line® dataset from the US Census Bureau
Lydia Home Assoc,4300 W Irving Park Rd,Chicago,60641-2825,IL,41.954,-87.735857,1,rooftop,4300,W Irving Park Rd,,,Chicago,IL,Cook County,60641,US,City of Chicago
Holy Trinity High School,1443 W Division St,Chicago,60642-3324,IL,41.903534,-87.663959,0.9,range_interpolation,1443,W Division St,,,Chicago,IL,Cook County,60642,US,TIGER/Line® dataset from the US Census Bureau
Josephinum Academy,1501 N Oakley Blvd,Chicago,60622-1850,IL,41.909257,-87.684152,1,rooftop,1501,N Oakley Blvd,,,Chicago,IL,Cook County,60622,US,City of Chicago
South Central Comm Serv Inc,1021 E 83rd St,Chicago,60619-5505,IL,41.743215,-87.599681,1,rooftop,1021,E 83rd St,,,Chicago,IL,Cook County,60619,US,City of Chicago
So Central Comm Serv-So Shore,7550 S Phillips Ave,Chicago,60649-3724,IL,41.757461,-87.565495,1,rooftop,7550,S Phillips Ave,,,Chicago,IL,Cook County,60649,US,Cook
Northwest Institute,4040 W Division St,Chicago,60651-1903,IL,41.90287,-87.728047,1,rooftop,4040,W Division St,,,Chicago,IL,Cook County,60651,US,Cook
Northwest Inst for Contemp Acad,5108 W Division St,Chicago,60651-1436,IL,41.902425,-87.753699,1,rooftop,5108,W Division St,,,Chicago,IL,Cook County,60651,US,Cook
Puerto Rican H S - Pedro A Campos,2739 W Division St,Chicago,60622-2854,IL,41.902638,-87.696005,1,rooftop,2739,W Division St,,,Chicago,IL,Cook County,60622,US,City of Chicago
Grace Christian Academy,4106 W 28th St,Chicago,60623-4358,IL,41.840739,-87.727243,1,rooftop,4106,W 28th St,,,Chicago,IL,Cook County,60623,US,City of Chicago
St Paul Lutheran School,846 N Menard Ave,Chicago,60651-2663,IL,41.896328,-87.770664,1,rooftop,846,N Menard Ave,,,Chicago,IL,Cook County,60651,US,City of Chicago
St Paul Lutheran School,7621 S Dorchester Ave,Chicago,60619-3425,IL,41.755982,-87.590384,1,rooftop,7621,S Dorchester Ave,,,Chicago,IL,Cook County,60619,US,City of Chicago
Plato Learning Acad  Elem School,5545 W Harrison St,Chicago,60644-5367,IL,41.872568,-87.763401,1,rooftop,5545,W Harrison St,,,Chicago,IL,Cook County,60644,US,City of Chicago
North Lawndale Charter HS,1313 S Sacramento Dr,Chicago,60623-2218,IL,41.864262,-87.701016,1,rooftop,1313,S Sacramento Dr,,,Chicago,IL,Cook County,60623,US,City of Chicago
Lane Technical High School,2501 W Addison St,Chicago,60618-5902,IL,41.945785,-87.690761,1,rooftop,2501,W Addison St,,,Chicago,IL,Cook County,60618,US,City of Chicago
Ravenswood Elem School,4332 N Paulina St,Chicago,60613-1220,IL,41.961126,-87.671289,1,rooftop,4332,N Paulina St,,,Chicago,IL,Cook County,60613,US,Cook
Waters Elem School,4540 N Campbell Ave,Chicago,60625-3006,IL,41.964302,-87.691961,1,rooftop,4540,N Campbell Ave,,,Chicago,IL,Cook County,60625,US,Cook
Thorp  O A Elem Scholastic Acad,6024 W Warwick Ave,Chicago,60634-2554,IL,41.948739,-87.777842,1,rooftop,6024,W Warwick Ave,,,Chicago,IL,Cook County,60634,US,City of Chicago
Chicago HS for the Arts,2714 W Augusta Blvd,Chicago,60622-4459,IL,41.899569,-87.695069,1,rooftop,2714,W Augusta Blvd,,,Chicago,IL,Cook County,60622,US,City of Chicago
LaSalle II Lang Acad Elem Sch,1148 N Honore St,Chicago,60622-3705,IL,41.902474,-87.674194,1,rooftop,1148,N Honore St,,,Chicago,IL,Cook County,60622,US,City of Chicago
Franklin Elem Fine Arts Center,225 W Evergreen Ave,Chicago,60610-1813,IL,41.906205,-87.635902,1,rooftop,225,W Evergreen Ave,,,Chicago,IL,Cook County,60610,US,City of Chicago
Disney II Elem School,3815 N Kedvale Ave,Chicago,60641-3113,IL,41.95072,-87.729951,1,rooftop,3815,N Kedvale Ave,,,Chicago,IL,Cook County,60641,US,City of Chicago
Sutherland Elem School,10015 S Leavitt St,Chicago,60643-1991,IL,41.711027,-87.676314,1,rooftop,10015,S Leavitt St,,,Chicago,IL,Cook County,60643,US,City of Chicago
Sheridan Elem Math & Science Acad,533 W 27th St,Chicago,60616-2574,IL,41.844051,-87.640913,1,rooftop,533,W 27th St,,,Chicago,IL,Cook County,60616,US,City of Chicago
Lincoln Park High School,2001 N Orchard St,Chicago,60614-4404,IL,41.918733,-87.645777,1,rooftop,2001,N Orchard St,,,Chicago,IL,Cook County,60614,US,City of Chicago
Taft High School,6530 W Bryn Mawr Ave,Chicago,60631-3185,IL,41.984829,-87.791893,1,rooftop,6530,W Bryn Mawr Ave,,,Chicago,IL,Cook County,60631,US,City of Chicago
Pritzker Elem School,2009 W Schiller St,Chicago,60622-1915,IL,41.906697,-87.677796,1,rooftop,2009,W Schiller St,,,Chicago,IL,Cook County,60622,US,City of Chicago
Inter-American Elem Magnet School,851 W Waveland Ave,Chicago,60613-4301,IL,41.948493,-87.651405,1,rooftop,851,W Waveland Ave,,,Chicago,IL,Cook County,60613,US,Cook
Lindblom Math & Science Acad HS,6130 S Wolcott Ave,Chicago,60636-2100,IL,41.782103,-87.672428,1,rooftop,6130,S Wolcott Ave,,,Chicago,IL,Cook County,60636,US,City of Chicago
Stone Elem Scholastic Academy,6239 N Leavitt St,Chicago,60659-3007,IL,41.995106,-87.684203,1,rooftop,6239,N Leavitt St,,,Chicago,IL,Cook County,60659,US,City of Chicago
Prescott Elem School,1632 W Wrightwood Ave,Chicago,60614-2268,IL,41.929108,-87.668926,1,rooftop,1632,W Wrightwood Ave,,,Chicago,IL,Cook County,60614,US,City of Chicago
Canty Elem School,3740 N Panama Ave,Chicago,60634-2021,IL,41.947674,-87.829792,1,rooftop,3740,N Panama Ave,,,Chicago,IL,Cook County,60634,US,City of Chicago
Galileo Elem Math & Sci Schol Acd,820 S Carpenter St,Chicago,60607-4237,IL,41.871068,-87.653811,1,rooftop,820,S Carpenter St,,,Chicago,IL,Cook County,60607,US,City of Chicago
Solomon Elem School,6206 N Hamlin Ave,Chicago,60659-1096,IL,41.994566,-87.72456,1,rooftop,6206,N Hamlin Ave,,,Chicago,IL,Cook County,60659,US,City of Chicago
Beaubien Elem School,5025 N Laramie Ave,Chicago,60630-2326,IL,41.97209,-87.756911,1,rooftop,5025,N Laramie Ave,,,Chicago,IL,Cook County,60630,US,Cook
Clissold Elem School,2350 W 110th Pl,Chicago,60643-3993,IL,41.693446,-87.679491,1,rooftop,2350,W 110th Pl,,,Chicago,IL,Cook County,60643,US,Cook
Byrne Elem School,5329 S Oak Park Ave,Chicago,60638-1117,IL,41.795015,-87.791051,1,rooftop,5329,S Oak Park Ave,,,Chicago,IL,Cook County,60638,US,City of Chicago
Devry Advantage Academy High Schl,1326 W 14Th Pl,Chicago,60608-2106,IL,41.862731,-87.660041,1,rooftop,1326,W 14th Pl,,,Chicago,IL,Cook County,60608,US,City of Chicago
Dore Elem School,7134 W 65Th St,Chicago,60638-4604,IL,41.773878,-87.799082,1,range_interpolation,7134,W 65th St,,,Chicago,IL,Cook County,60638,US,TIGER/Line® dataset from the US Census Bureau
Hitch Elem School,5625 N McVicker Ave,Chicago,60646-6102,IL,41.983847,-87.778632,1,rooftop,5625,N McVicker Ave,,,Chicago,IL,Cook County,60646,US,City of Chicago
Mitchell Elem School,2233 W Ohio St,Chicago,60612-1519,IL,41.891959,-87.683176,1,rooftop,2233,W Ohio St,,,Chicago,IL,Cook County,60612,US,Cook
Kenwood Academy High School,5015 S Blackstone Ave,Chicago,60615-3086,IL,41.779449,-87.589978,0.9,rooftop,5015,S Blackstone Ave,,,Chicago,IL,Cook County,60637,US,City of Chicago
Suder Montessori Elem Magnet Schl,2022 W Washington Blvd,Chicago,60612-2429,IL,41.883393,-87.678065,1,rooftop,2022,W Washington Blvd,,,Chicago,IL,Cook County,60612,US,City of Chicago
Owen Elem Scholastic Academy,8247 S Christiana Ave,Chicago,60652-3300,IL,41.743269,-87.705265,1,rooftop,8247,S Christiana Ave,,,Chicago,IL,Cook County,60652,US,City of Chicago
Brooks College Prep Academy HS,250 E 111th St,Chicago,60628-4324,IL,41.694224,-87.615826,1,rooftop,250,E 111th St,,,Chicago,IL,Cook County,60628,US,Cook
Albany Park Multicultural Elem,4929 N Sawyer Ave,Chicago,60625-5008,IL,41.97106,-87.709425,1,rooftop,4929,N Sawyer Ave,,,Chicago,IL,Cook County,60625,US,City of Chicago
Murray Elem Language Academy,5335 S Kenwood Ave,Chicago,60615-5393,IL,41.798796,-87.593129,1,rooftop,5335,S Kenwood Ave,,,Chicago,IL,Cook County,60615,US,City of Chicago
Kinzie Elem School,5625 S Mobile Ave,Chicago,60638-3459,IL,41.789176,-87.779091,1,range_interpolation,5625,S Mobile Ave,,,Chicago,IL,Cook County,60638,US,TIGER/Line® dataset from the US Census Bureau
Newberry Elem Math & Science Acad,700 W Willow St,Chicago,60614-5108,IL,41.913715,-87.645951,1,range_interpolation,700,W Willow St,,,Chicago,IL,Cook County,60614,US,TIGER/Line® dataset from the US Census Bureau
Academy for Global Citizenship,4647 W 47th St,Chicago,60632-4847,IL,41.807417,-87.740056,1,rooftop,4647,W 47th St,,,Chicago,IL,Cook County,60632,US,City of Chicago
Ray Elem School,5631 S Kimbark Ave,Chicago,60637-1605,IL,41.792471,-87.594381,1,rooftop,5631,S Kimbark Ave,,,Chicago,IL,Cook County,60637,US,Cook
Disney Elem Magnet School,4140 N Marine Dr,Chicago,60613-2311,IL,41.956804,-87.647248,1,rooftop,4140,N Marine Dr,,,Chicago,IL,Cook County,60613,US,City of Chicago
Grissom Elem School,12810 S Escanaba Ave,Chicago,60633-1298,IL,41.662124,-87.553566,1,rooftop,12810,S Escanaba Ave,,,Chicago,IL,Cook County,60633,US,Cook
