"","site_name","site_address","site_city","site_state","site_zip","latitude","longitude","site_type"
"431","PrimeCare Young Family Health Center","1431 N Western Ave Ste 101","Chicago","IL","60622-7712",41.90829094,-87.68710312,"Federally Qualified Health Center"
"432","ACCESS Doctors Medical Center","6240 W 55th St","Chicago","IL","60638-2531",41.79244855,-87.77861951,"Federally Qualified Health Center"
"433","PCC Community Wellness Center at Steinmetz","3030 N Mobile Ave","Chicago","IL","60634-4041",41.93471891,-87.78340993,"Federally Qualified Health Center"
"434","SIHF Healthcare - Windsor","100 N 8th St Ste 232","East Saint Louis","IL","62201-2989",38.62273745,-90.15695008,"Federally Qualified Health Center"
"435","POPE COUNTY MEDICAL CLINIC","217 S Adams St","Golconda","IL","62938-1134",37.36669739,-88.48878778,"Federally Qualified Health Center"
"436","Heartland Community Health Clinic DBA: Heartland Health Services - Knoxville","1800 N Knoxville Ave Ste A","Peoria","IL","61603-3005",40.71000962,-89.59395466,"Federally Qualified Health Center"
"437","PCC Administrative Office","20 Lake St","Oak Park","IL","60302-2606",41.88809072,-87.77599413,"Federally Qualified Health Center"
"438","Creekside Health Center","300 Mchenry Rd","Wheeling","IL","60090-2696",42.14377372,-87.93595034,"Federally Qualified Health Center"
"439","VNA Health Center- DuPage County Health Department","111 N County Farm Rd","Wheaton","IL","60187-3977",41.86425701,-88.14281536,"Federally Qualified Health Center"
"440","Temporary Site - FH - South Shore","7340 S East End Ave","Chicago","IL","60649-3105",41.76097455,-87.58355703,"Federally Qualified Health Center"
"441","Esperanza Brighton Park","4700 S California Ave","Chicago","IL","60632-2016",41.80819986,-87.69427426,"Federally Qualified Health Center"
"442","NORTH SHORE HEALTH CENTER","1840 Green Bay Rd","Highland Park","IL","60035-3110",42.18595288,-87.80385281,"Federally Qualified Health Center"
"443","Knox Community Health Center","1361 W Fremont St","Galesburg","IL","61401-2436",40.96238747,-90.39237981,"Federally Qualified Health Center"
"444","Crusader Community Health-South Beloit Junior High School","840 Blackhawk Blvd","South Beloit","IL","61080-2263",42.48506779,-89.04041719,"Federally Qualified Health Center"
"445","Michael Michelini Center for Health","1431 N Western Ave Ste 209","Chicago","IL","60622-7712",41.90829094,-87.68710312,"Federally Qualified Health Center"
"446","Crusader Clinic - Belvidere","1050 Logan Ave","Belvidere","IL","61008-3966",42.25317717,-88.82626428,"Federally Qualified Health Center"
"447","SIU Center for Family Medicine-Chaddock","205 S 24th St Ste 100","Quincy","IL","62301-4446",39.92940268,-91.37754579,"Federally Qualified Health Center"
"448","Tamms Health Center","290 Railroad St","Tamms","IL","62988-5038",37.23520366,-89.2716556,"Federally Qualified Health Center"
"449","CHRISTIAN COMMUNITY HEALTH CENTER","9718 S Halsted St","Chicago","IL","60628-1007",41.7169831,-87.64318799,"Federally Qualified Health Center"
"450","LCHC at Neopolitan Lighthouse",NA,"Chicago","IL",NA,41.88425,-87.63244999,"Federally Qualified Health Center"
"451","Erie Lake View School Based Health Center","4015 N Ashland Ave","Chicago","IL","60613-2593",41.95523115,-87.66905965,"Federally Qualified Health Center"
"452","Erie Amundsen School Based Health Center","5110 N Damen Ave","Chicago","IL","60625-1317",41.97509601,-87.67937752,"Federally Qualified Health Center"
"453","Shawneetown Community Health Center","9525 Gold Hill Rd","Shawneetown","IL","62984-3659",37.7114405,-88.18407471,"Federally Qualified Health Center"
"454","KOMED/HOLMAN HEALTH CENTER","4259 S Berkeley Ave","Chicago","IL","60653-3030",41.81723504,-87.60056261,"Federally Qualified Health Center"
"455","COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS","157 S Lincoln Ave Ste C","Aurora","IL","60505-4291",41.75256029,-88.31396487,"Federally Qualified Health Center"
"456","Vandalia Healthcare Center","1510 Sunset Dr","Vandalia","IL","62471-3228",38.97561071,-89.11563465,"Federally Qualified Health Center"
"457","Jacksonville","1440 W Walnut St Ste 2","Jacksonville","IL","62650-1143",39.74529745,-90.25608503,"Federally Qualified Health Center"
"458","DONGOLA MEDICAL CLINIC","318 US Highway 51 N","Dongola","IL","62926-1103",37.32542055,-89.15533685,"Federally Qualified Health Center"
"459","ACCESS Centro Médico","3700 W 26th St","Chicago","IL","60623-3824",41.84444568,-87.71729804,"Federally Qualified Health Center"
"460","Association for Individual Development  - New Indian Trail Court","309 New Indian Trail Ct","Aurora","IL","60506-2411",41.78285752,-88.323996,"Federally Qualified Health Center"
"461","Howard Brown Health South Side Mobile","5837 S Maryland Ave","Chicago","IL","60637-1463",41.78867703,-87.60486554,"Federally Qualified Health Center"
"462","Heartland Health Center - Hibbard","3244 W Ainslie St","Chicago","IL","60625-5018",41.97027796,-87.71036743,"Federally Qualified Health Center"
"463","Heartland Health Center - Lakeview","3048 N Wilton Ave","Chicago","IL","60657-6710",41.93776804,-87.65286146,"Federally Qualified Health Center"
"464","Temporary Site -  Esperanza Enlace","2756 S Harding Ave","Chicago","IL","60623-4407",41.84071465,-87.72323298,"Federally Qualified Health Center"
"465","Eldorado Rural Health Clinic","1401 US Highway 45 N","Eldorado","IL","62930-3770",37.80380989,-88.45214716,"Federally Qualified Health Center"
"466","PRIMECARE WEST TOWN","1431 N Western Ave Ste 406","Chicago","IL","60622-1774",41.90829094,-87.68710312,"Federally Qualified Health Center"
"467","Round Lake District 116 School Based Health Center","800 High School Dr","Round Lake","IL","60073-2951",42.36272437,-88.0937297,"Federally Qualified Health Center"
"468","SALEM MEDICAL CENTER","1275 Hawthorn Rd","Salem","IL","62881-1028",38.63718496,-88.95870972,"Federally Qualified Health Center"
"469","FFHC-Pulaski","5635 S Pulaski Rd","Chicago","IL","60629-4438",41.79021997,-87.72305252,"Federally Qualified Health Center"
"470","SIU Center for Family Medicine-Jacksonville","345 W State St","Jacksonville","IL","62650-1879",39.73384999,-90.233112,"Federally Qualified Health Center"
"471","Family Guidance Center","120 N 11th St","Springfield","IL","62703-1002",39.80239305,-89.64073247,"Federally Qualified Health Center"
"472","PCC Community Wellness Center at West Suburban","1 Erie Ct Ste 7140","Oak Park","IL","60302-2510",41.89178253,-87.77551804,"Federally Qualified Health Center"
"473","Pillars Community Health","23 W Calendar Ave","La Grange","IL","60525-2365",41.81481093,-87.87079287,"Federally Qualified Health Center"
"474","LCHC at 3910","3910 W Ogden Ave","Chicago","IL","60623-2470",41.85199779,-87.72267366,"Federally Qualified Health Center"
"475","SIU Center for Family Medicine-Springfield","520 N 4th St","Springfield","IL","62702-5238",39.80649863,-89.65052458,"Federally Qualified Health Center"
"476","FFHC-Western","5843 S Western Ave","Chicago","IL","60636-1526",41.78706201,-87.68382253,"Federally Qualified Health Center"
"477","Mobile Medical and Dental Unit",NA,"Joliet","IL",NA,41.52493,-88.08458999,"Federally Qualified Health Center"
"478","Sesser Community Health Center","6294 State Highway 154","Sesser","IL","62884-2163",38.09184875,-89.03681456,"Federally Qualified Health Center"
"479","Community Health Care, Inc. East Moline Clinic","708 15th Ave","East Moline","IL","61244-2134",41.51583259,-90.44443746,"Federally Qualified Health Center"
"480","Lawndale Christian Health Center Main Clinic","3860 W Ogden Ave","Chicago","IL","60623-2460",41.85225146,-87.7219301,"Federally Qualified Health Center"
"481","ACCESS Martin T. Russo Family Health Center","245 S Gary Ave Lowr Level","Bloomingdale","IL","60108-2228",41.94310015,-88.11947438,"Federally Qualified Health Center"
"482","Children's Reception Center","5001 S Michigan Ave","Chicago","IL","60615-2112",41.80360738,-87.62266783,"Federally Qualified Health Center"
"483","Center for Family Health - DeKalb","2550 N Annie Glidden Rd","Dekalb","IL","60115-1389",41.95685498,-88.770144,"Federally Qualified Health Center"
"484","Crossing Healthcare on Water Street","1027 N Water St","Decatur","IL","62523-1022",39.85178386,-88.95457005,"Federally Qualified Health Center"
"485","VNA Health Care Romeoville","160 N Independence Blvd","Romeoville","IL","60446-1803",41.63065922,-88.08040415,"Federally Qualified Health Center"
"486","SIU Center for Family Medicine-Pittsfield","606 W Adams St","Pittsfield","IL","62363-1308",39.60805441,-90.81407466,"Federally Qualified Health Center"
"487","WINFIELD MOODY HEALTH CENTER","1276 N Clybourn Ave","Chicago","IL","60610-2089",41.90546574,-87.64193732,"Federally Qualified Health Center"
"488","Belleville Family Health Center","180 S 3rd St Ste 103","Belleville","IL","62220-1952",38.51187701,-89.98816253,"Federally Qualified Health Center"
"489","LCHC at Hand-n-Hand","4207 W Carroll Ave","Chicago","IL","60624-1704",41.88689249,-87.73111993,"Federally Qualified Health Center"
"490","Esperanza Vida Pediatrics","3124 W 59th St","Chicago","IL","60629-2504",41.78635925,-87.70191735,"Federally Qualified Health Center"
"491","Effingham Health Center","900 W Temple Ave Ste 208","Effingham","IL","62401-2187",39.12757746,-88.55322907,"Federally Qualified Health Center"
"492","ALIVIO MEDICAL CENTER","2355 S Western Ave","Chicago","IL","60608-3837",41.84871229,-87.68551031,"Federally Qualified Health Center"
"493","Community Health Care, Inc. - Robert Young Center","2200 3rd Ave","Rock Island","IL","61201-8840",41.50988253,-90.56846012,"Federally Qualified Health Center"
"494","UNIVERSITY OF ILLINOIS MEDICAL CENTER - MILE SQUARE HEALTH CENTER, NATIONAL TEACHERS ACADEMY HEALTH AND WELLNESS CENTER","55 W Cermak Rd","Chicago","IL","60616-2001",41.85281251,-87.62834959,"Federally Qualified Health Center"
"495","Gateway Foundation","400 Mercy Ln","Aurora","IL","60506-2447",41.78465343,-88.32603272,"Federally Qualified Health Center"
"496","Shawnee Health Care, Marion Dental","3115 Williamson County Pkwy","Marion","IL","62959-5235",37.75068509,-88.98192512,"Federally Qualified Health Center"
"497","Crusader Clinic on Broadway","1100 Broadway","Rockford","IL","61104-1429",42.25239749,-89.08076895,"Federally Qualified Health Center"
"498","Fairfield Community Health Center","209 NW 11th St","Fairfield","IL","62837-1218",38.38110084,-88.37447501,"Federally Qualified Health Center"
"499","ACCESS at Sinai","2653 W Ogden Ave","Chicago","IL","60608-1647",41.86219399,-87.69294456,"Federally Qualified Health Center"
"500","Howard Brown Sheridan","4025 N Sheridan Rd","Chicago","IL","60613-2010",41.95519732,-87.65450273,"Federally Qualified Health Center"
"501","Frances Nelson","819 Bloomington Rd","Champaign","IL","61820-2101",40.13148463,-88.25645496,"Federally Qualified Health Center"
"502","Community Crisis Center",NA,"Elgin","IL",NA,42.03957,-88.28386999,"Federally Qualified Health Center"
"503","Crusader Community Health Loves Park","6115 N 2nd St","Loves Park","IL","61111-4155",42.31851101,-89.05682898,"Federally Qualified Health Center"
"504","SIU Center for Family Medicine-Transitions of Western Illinois","4409 Maine St Ste 100","Quincy","IL","62305-5849",39.93078176,-91.34491848,"Federally Qualified Health Center"
"505","PRIMECARE FULLERTON","3924 W Fullerton Ave","Chicago","IL","60647-2228",41.92452204,-87.72535838,"Federally Qualified Health Center"
"506","VERMILION AREA COMM HLTH CTR","614 N Gilbert St","Danville","IL","61832-3940",40.13490077,-87.63562722,"Federally Qualified Health Center"
"507","COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS","157 S Lincoln Ave Ste D","Aurora","IL","60505-4291",41.75245443,-88.31405163,"Federally Qualified Health Center"
"508","SIU Center for Family Medicine-Taylorville","303 E Bidwell St","Taylorville","IL","62568-1363",39.55894437,-89.2930542,"Federally Qualified Health Center"
"509","Esperanza California","2001 S California Ave Ste 100","Chicago","IL","60608-2486",41.85469098,-87.69551252,"Federally Qualified Health Center"
"510","HEARTLAND ALLIANCE HEALTH - JAMES WEST CLINIC","932 W Washington Blvd Ste 224","Chicago","IL","60607-2217",41.88350699,-87.65124802,"Federally Qualified Health Center"
"511","LifeLinks Mental Health","750 Broadway Ave E","Mattoon","IL","61938-4610",39.48501227,-88.32607024,"Federally Qualified Health Center"
"512","Central Counties Health Centers - Christian County","1141 N Cheney St","Taylorville","IL","62568-2741",39.56074813,-89.30697611,"Federally Qualified Health Center"
"513","ACCESS Humboldt Park Family Health Center","3202 W North Ave","Chicago","IL","60647-4940",41.91020461,-87.70704625,"Federally Qualified Health Center"
"514","Arthur Health Center","525 N Vine St","Arthur","IL","61911-1130",39.72276983,-88.47255576,"Federally Qualified Health Center"
"515","VNA Health Center - Bensenville","28 N York Rd","Bensenville","IL","60106-2141",41.9577485,-87.93965246,"Federally Qualified Health Center"
"516","SIU Center for Family Medicine-Decatur","102 W Kenwood Ave","Decatur","IL","62526-4368",39.8674375,-88.95725063,"Federally Qualified Health Center"
"517","Temporary Site - 6507-Covid","6507 Cermak Rd Lot Parking","Berwyn","IL","60402-2312",41.850366,-87.78636296,"Federally Qualified Health Center"
"518","CAHOKIA SCHOOL BASE CLINIC","800 Range Ln","East Saint Louis","IL","62206-2022",38.5657633,-90.16634737,"Federally Qualified Health Center"
"519","Bunker Hill Community Unit School District #8","504 E Warren St","Bunker Hill","IL","62014-1102",39.040002,-89.96089997,"Federally Qualified Health Center"
"520","Heartland Community Health Clinic DBA: Heartland Health Services - Carver","711 W John H Gwynn Jr Ave","Peoria","IL","61605-2270",40.69035561,-89.60450551,"Federally Qualified Health Center"
"521","Thomas Elementary School Health Center","1025 N Wall St Rm 102","Carbondale","IL","62901-1737",37.73662093,-89.20833471,"Federally Qualified Health Center"
"522","Macoupin County Maple Street Clinic","109 E Maple St","Gillespie","IL","62033-1473",39.12946972,-89.81805432,"Federally Qualified Health Center"
"523","Temporary Site - Esperanza Southwest- COVID Vaccination Site","6057 S Western Ave","Chicago","IL","60636-2019",41.78319883,-87.68371834,"Federally Qualified Health Center"
"524","Promise Healthcare on Walnut","801 N Walnut St","Champaign","IL","61820-3055",40.12404154,-88.24108004,"Federally Qualified Health Center"
"525","Esperanza California, Suite 101","2001 S California Ave Ste 101","Chicago","IL","60608-2486",41.85469098,-87.69551252,"Federally Qualified Health Center"
"526","Louise Landau Health Center","800 N Kedzie Ave","Chicago","IL","60651-4100",41.89705936,-87.70661745,"Federally Qualified Health Center"
"527","VNA Health Center- Mona Kea","397 S Schmale Rd","Carol Stream","IL","60188-2756",41.89247098,-88.10210003,"Federally Qualified Health Center"
"528","Pillars Community Health Fillmore Center","6918 W Windsor Ave","Berwyn","IL","60402-3334",41.8324462,-87.79617146,"Federally Qualified Health Center"
"529","PCC Sports Medicine and Prenatal Wellness Clinic","1 Erie Ct Ste 7140","Oak Park","IL","60302-2510",41.89178253,-87.77551804,"Federally Qualified Health Center"
"530","ACCESS Austin Family Health Center","4909 W Division St Ste 508","Chicago","IL","60651-3161",41.90231205,-87.74920188,"Federally Qualified Health Center"
"531","Temporary Site -  ACCESS Center for Discovery and Learning","5139 S Ashland Ave","Chicago","IL","60609-4931",41.80013941,-87.66468159,"Federally Qualified Health Center"
"532","Community Health Care, Inc. Rock Island Clinic","2750 11th St","Rock Island","IL","61201-5216",41.48228863,-90.58302661,"Federally Qualified Health Center"
"533","ACCESS Plaza Family Health Center","2533 W Cermak Rd","Chicago","IL","60608-3719",41.85056901,-87.68898696,"Federally Qualified Health Center"
"534","Heartland Health Centers  Skokie","8320 Skokie Blvd","Skokie","IL","60077-2545",42.03216696,-87.74735845,"Federally Qualified Health Center"
"535","ACCESS West Chicago Family Health Center","245 W Roosevelt Rd Bldg 14","West Chicago","IL","60185-3739",41.86667588,-88.20897022,"Federally Qualified Health Center"
"536","Will County Community Health Center - North","323 Quadrangle Dr","Bolingbrook","IL","60440-3409",41.69038707,-88.0754807,"Federally Qualified Health Center"
"537","CARPENTERSVILLE COMMUNITY HEALTH CENTER","3003 Wakefield Dr","Carpentersville","IL","60110-2422",42.10600101,-88.24715298,"Federally Qualified Health Center"
"538","COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS","202 N Schuyler Ave Ste 206","Kankakee","IL","60901-3605",41.12173934,-87.86358797,"Federally Qualified Health Center"
"539","Belleville Family Health Center II","180 S 3rd St Ste 104","Belleville","IL","62220-1952",38.51187701,-89.98816253,"Federally Qualified Health Center"
"540","Mobile Medical Unit Bloomington 1","702 W Chestnut St","Bloomington","IL","61701-2814",40.48548236,-89.0004896,"Federally Qualified Health Center"
"541","North/Kostner Health Center","1520 N Kostner Ave","Chicago","IL","60651-1610",41.90831462,-87.73633582,"Federally Qualified Health Center"
"542","A.Chicago DPH - Alivio Medical Center Satellite Clinic","966 W. 21st St.","Chicago","IL","60608",41.8542,-87.650642,"Women, Infants, and Children (WIC)"
"543","Adams County Health Department","330 Vermont St","Quincy","IL","62301",39.934101,-91.410264,"Women, Infants, and Children (WIC)"
"544","Aunt Martha's Youth Service Center","2124 Ogden Ave","Aurora","IL","60504",41.731896,-88.263437,"Women, Infants, and Children (WIC)"
"545","Bond County Health Department","1520 S 4th St","Greenville","IL","62246",38.880973,-89.414503,"Women, Infants, and Children (WIC)"
"546","Boone County Health Department","1204 Logan Ave","Belvidere","IL","61008",42.253571,-88.824412,"Women, Infants, and Children (WIC)"
"547","Brown County Health Department","120 E Main St","Mt Sterling","IL","62353",39.984602,-90.762664,"Women, Infants, and Children (WIC)"
"548","Bureau County Health Department","526 S Bureau Valley Pkwy","Princeton","IL","61356",41.368624,-89.450625,"Women, Infants, and Children (WIC)"
"549","Calhoun County Health Department","210 French St","Hardin","IL","62047",39.157744,-90.61906,"Women, Infants, and Children (WIC)"
"550","Carroll County Health Department","822 S Mill St","Mt Carroll","IL","61053",42.088939,-89.9867,"Women, Infants, and Children (WIC)"
"551","Cass County Health Department - Beardstown","8590 St Luke Dr","Beardstown","IL","62618",40.01755,-90.42429,"Women, Infants, and Children (WIC)"
"552","Cass County Health Department - Virginia","331 S Main St","Virginia","IL","62691",39.9472,-90.21254,"Women, Infants, and Children (WIC)"
"553","CEDA - Albany Park","2754 W Lawrence Ave","Chicago","IL","60625",41.968687,-87.697851,"Women, Infants, and Children (WIC)"
"554","CEDA - Austin","5425 W Lake St, 2nd Fl.","Chicago","IL","60644",41.886981,-87.761527,"Women, Infants, and Children (WIC)"
"555","CEDA - Bloom Rich","1203 West End Ave","Chicago Heights","IL","60411",41.509514,-87.632023,"Women, Infants, and Children (WIC)"
"556","CEDA - Blue Island","12940 Western Ave","Blue Island","IL","60406",41.657784,-87.680508,"Women, Infants, and Children (WIC)"
"557","CEDA - Chicago Heights","233 W Joe Orr Rd","Chicago Heights","IL","60411",41.521111,-87.652436,"Women, Infants, and Children (WIC)"
"558","CEDA - Des Plaines","400 O'Connor Drive","Des Plaines","IL","60016",42.068436,-87.898787,"Women, Infants, and Children (WIC)"
"559","CEDA - Diversey","4622 W Diversey Ave","Chicago","IL","60639",41.933147,-87.742388,"Women, Infants, and Children (WIC)"
"560","CEDA - Harvey","53 E 154th St","Harvey","IL","60426",41.610124,-87.652943,"Women, Infants, and Children (WIC)"
"561","CEDA - Howard Street","1516 W. Howard St","Chicago","IL","60626",42.019512,-87.669134,"Women, Infants, and Children (WIC)"
"562","CEDA - Irving Park","3948 N Lowell Ave","Chicago","IL","60641",41.953189,-87.737079,"Women, Infants, and Children (WIC)"
"563","CEDA - Maywood","411 Madison St","Maywood","IL","60153",41.878807,-87.838244,"Women, Infants, and Children (WIC)"
"564","CEDA - Morton Grove","6421 Dempster St","Morton Grove","IL","60053",42.040626,-87.787449,"Women, Infants, and Children (WIC)"
"565","CEDA - Mt. Prospect","1300 W Northwest Hwy","Mt Prospect","IL","60056",42.072115,-87.955262,"Women, Infants, and Children (WIC)"
"566","CEDA - Oak Lawn","5535 W 87th St","Oak Lawn","IL","60453",41.733652,-87.759918,"Women, Infants, and Children (WIC)"
"567","CEDA - Oak Park","6026 W Roosevelt Rd","Oak Park","IL","60304",41.865606,-87.775544,"Women, Infants, and Children (WIC)"
"568","CEDA - Rolling Meadows","2272 Algonquin Pkwy, 1st Floor","Rolling Meadows","IL","60008",42.0598,-88.008359,"Women, Infants, and Children (WIC)"
"569","CEDA - Summit","5818 S. Archer Road, Rear Building","Summit","IL","60501",41.785546,-87.811263,"Women, Infants, and Children (WIC)"
"570","CEDA - Wheeling","300 McHenry Rd, Lower Level","Wheeling","IL","60090",42.143477,-87.936083,"Women, Infants, and Children (WIC)"
"571","CEDA WIC - Hanover Park","1515 W Lake St, 2nd Floor","Hanover Park","IL","60133",41.982623,-88.14516,"Women, Infants, and Children (WIC)"
"572","Champaign-Urbana Public Health District - Champaign","201 W Kenyon Rd","Champaign","IL","61820",40.133684,-88.24671,"Women, Infants, and Children (WIC)"
"573","Champaign-Urbana Public Health District - Rantoul","520 E Wabash Ave","Rantoul","IL","61866",40.306654,-88.15107,"Women, Infants, and Children (WIC)"
"574","Chicago DPH - Alivio Medical Center","2355 S Western Ave","Chicago","IL","60608",41.848906,-87.685173,"Women, Infants, and Children (WIC)"
"575","Chicago DPH - Alivio Medical Center Satellite Clinic","966 W 21st St","Chicago","IL","60608",41.8542,-87.650642,"Women, Infants, and Children (WIC)"
"576","Chicago DPH - Asian Human Services Family Health Center","2424 W Peterson Ave","Chicago","IL","60659",41.990812,-87.690678,"Women, Infants, and Children (WIC)"
"577","Chicago DPH - Austin Clinic","4909 W Division St","Chicago","IL","60651",41.902016,-87.749196,"Women, Infants, and Children (WIC)"
"578","Chicago DPH - Chicago Family Health Center","9119 S Exchange Ave","Chicago","IL","60617",41.729513,-87.552088,"Women, Infants, and Children (WIC)"
"579","Chicago DPH - Englewood Neighborhood Health Center","641 W 63rd St","Chicago","IL","60621",41.77962,-87.641275,"Women, Infants, and Children (WIC)"
"580","Chicago DPH - Erie Family Health Center/Division","2418 W Division St","Chicago","IL","60622",41.903326,-87.687719,"Women, Infants, and Children (WIC)"
"581","Chicago DPH - Erie Family Health Center/Superior","1701 W Superior St","Chicago","IL","60622",41.894858,-87.670133,"Women, Infants, and Children (WIC)"
"582","Chicago DPH - Friend Family Health Center, Inc","800 E 55th St., Basement","Chicago","IL","60615",41.795772,-87.605309,"Women, Infants, and Children (WIC)"
"583","Chicago DPH - Greater Lawn Health Center","4150 W 55th St, 2nd Fl.","Chicago","IL","60632",41.793449,-87.727465,"Women, Infants, and Children (WIC)"
"584","Chicago DPH - Henry Booth House","2907 S Wabash Ave","Chicago","IL","60616",41.841666,-87.624856,"Women, Infants, and Children (WIC)"
"585","Chicago DPH - Uptown Neighborhood Health Center","845 W Wilson Ave, 2nd Floor","Chicago","IL","60640",41.965239,-87.651998,"Women, Infants, and Children (WIC)"
"586","Chicago DPH - Westside Health Partnership","2400 S Kedzie Ave, 2nd Floor","Chicago","IL","60623",41.848015,-87.705498,"Women, Infants, and Children (WIC)"
"587","Christian County Health Department","902 W Springfield Rd","Taylorville","IL","62568",39.562724,-89.30542,"Women, Infants, and Children (WIC)"
"588","Clark County Health Department","997 N York St, PO Box 266","Martinsville","IL","62442",39.336379,-87.883868,"Women, Infants, and Children (WIC)"
"589","Clay County Health Department","601 E 12th St","Flora","IL","62839",38.677954,-88.481882,"Women, Infants, and Children (WIC)"
"590","Clinton County Health Department","930A Fairfax St","Carlyle","IL","62231",38.611023,-89.369327,"Women, Infants, and Children (WIC)"
"591","Coles County Health Department","825 18th St #1","Charleston","IL","61920",39.490455,-88.161705,"Women, Infants, and Children (WIC)"
"592","Cook County DPH - Erie Family Health Center/Humboldt Park","2750 North Ave","Chicago","IL","60622",41.91054,-87.696744,"Women, Infants, and Children (WIC)"
"593","Cook County Health - Logan Square Health Center","2840 W Fullerton Ave","Chicago","IL","60647",41.925096,-87.699063,"Women, Infants, and Children (WIC)"
"594","Cook County Health - Riverside Health Center","1800 S. Harlem Avenue","Riverside","IL","60546",41.91296,-87.806355,"Women, Infants, and Children (WIC)"
"595","Cook County Health - Robbins Health Center","13450 S Kedzie Ave","Robbins","IL","60472",41.648455,-87.699323,"Women, Infants, and Children (WIC)"
"596","Cook County Health -John H. Stroger Jr. Hospital","1969 West Ogden","Chicago","IL","60612",41.872786,-87.676131,"Women, Infants, and Children (WIC)"
"597","Cook County Health-Cottage Grove Health Center","1645 Cottage Grove Ave","Ford Heights","IL","60411",41.504269,-87.596489,"Women, Infants, and Children (WIC)"
"598","Cook County HHS - Arlington Heights Health Center","3250 N Arlington Heights Road #300","Arlington Heights","IL","60004",42.134629,-87.984536,"Women, Infants, and Children (WIC)"
"599","Cook County HHS - John H. Stroger Jr. Hospital","1969 W. Ogden, 4th Floor","Chicago","IL","60612",41.872786,-87.676131,"Women, Infants, and Children (WIC)"
"600","Coordinated Youth and Human Services - Granite City","2016 Madison Ave","Granite City","IL","62040",38.699725,-90.146226,"Women, Infants, and Children (WIC)"
"601","Coordinated Youth and Human Services - Wood River","101 E Edwardsville Rd","Wood River","IL","62095",38.873416,-90.097532,"Women, Infants, and Children (WIC)"
"602","Crawford County Health Department","202 N Christopher Blvd","Robinson","IL","62454",39.004559,-87.751776,"Women, Infants, and Children (WIC)"
"603","Cumberland County Health Department","200 S Indiana St","Toledo","IL","62468",39.271366,-88.243133,"Women, Infants, and Children (WIC)"
"604","De Kalb County Health Department","2550 N Annie Glidden Rd","DeKalb","IL","60115",41.954861,-88.772946,"Women, Infants, and Children (WIC)"
"605","De Witt Piatt Bi-County Health Department - Clinton","5924 Revere Rd, PO Box 518","Clinton","IL","61727",40.152822,-88.947118,"Women, Infants, and Children (WIC)"
"606","De Witt Piatt Bi-County Health Department - Monticello","1020 S Market St","Monticello","IL","61856",40.017882,-88.57485,"Women, Infants, and Children (WIC)"
"607","Douglas County Health Department","1250 E. US Highway 36","Tuscola","IL","61953",39.791985,-88.236121,"Women, Infants, and Children (WIC)"
"608","DuPage County Health Department - Addison","1111 W Lake St","Addison","IL","60101",41.943665,-88.016132,"Women, Infants, and Children (WIC)"
"609","DuPage County Health Department - Lombard","1111 Jackson St","Lombard","IL","60148",41.871309,-87.99129,"Women, Infants, and Children (WIC)"
"610","DuPage County Health Department - West Chicago","245 W Roosevelt Rd, Bldg. 14, Ste. 146","West Chicago","IL","60185",41.868927,-88.208716,"Women, Infants, and Children (WIC)"
"611","DuPage County Health Department - Westmont","422 N Cass Ave","Westmont","IL","60559",41.805384,-87.975846,"Women, Infants, and Children (WIC)"
"612","DuPage County Health Department - Wheaton","111 County Farm Rd","Wheaton","IL","60187",41.86418,-88.143023,"Women, Infants, and Children (WIC)"
"613","East Side Health District - Cahokia","1274 Camp Jackson Rd","Cahokia","IL","62206",38.560452,-90.174139,"Women, Infants, and Children (WIC)"
"614","East Side Health District - East St. Louis","638 N 20th St","East St Louis","IL","62205",38.619491,-90.131994,"Women, Infants, and Children (WIC)"
"615","East Side Health District - Fairmont City","2568 N 41st St","East St Louis","IL","62201",38.645002,-90.107265,"Women, Infants, and Children (WIC)"
"616","Edgar County Public Health Department","502 Shaw Ave","Paris","IL","61944",39.606966,-87.692235,"Women, Infants, and Children (WIC)"
"617","Effingham County Health Department","901 W Virginia Ave","Effingham","IL","62401",39.126045,-88.553136,"Women, Infants, and Children (WIC)"
"618","Egyptian Health Department - Carmi","1705 College Ave","Carmi","IL","62821",38.078577,-88.189484,"Women, Infants, and Children (WIC)"
"619","Egyptian Health Department - Eldorado","1412 US-45","Eldorado","IL","62930",37.803949,-88.45241,"Women, Infants, and Children (WIC)"
"620","Egyptian Health Department - Shawneetown","9525 Gold Hill Rd","Shawneetown","IL","62984",37.69911,-88.182682,"Women, Infants, and Children (WIC)"
"621","Fayette County Health Department","416 W Edwards St","Vandalia","IL","62471",38.958333,-89.095556,"Women, Infants, and Children (WIC)"
"622","Franklin Williamson Bi-County Health Department - Benton","403 E Park St","Benton","IL","62812",38.010712,-88.91672,"Women, Infants, and Children (WIC)"
"623","Franklin Williamson Bi-County Health Department - Marion","8160 Express Dr","Marion","IL","62959",37.746459,-89.007974,"Women, Infants, and Children (WIC)"
"624","Fulton County Health Department - Astoria","131 W Broadway","Astoria","IL","61501",40.227084,-90.358679,"Women, Infants, and Children (WIC)"
"625","Fulton County Health Department - Canton","700 E Oak St","Canton","IL","61520",40.549461,-90.026195,"Women, Infants, and Children (WIC)"
